refseq id	virus family	virus tax id	virus name	virus host	host name	virus genus	virus genome type
AY876912	Picornaviridae	310755	Human enterovirus Ningbo3-02	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ011855	Coronaviridae	42005	Porcine hemagglutinating encephalomyelitis virus	Mammalia	Sus scrofa	Betacoronavirus	ssRNA(+)
DQ028633	Astroviridae	35741	Human astrovirus 5	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
DQ070852	Astroviridae	35300	Human astrovirus 4	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
DQ294633	Picornaviridae	12107	Mengo virus	Mammalia	Macaca mulatta	Cardiovirus	ssRNA(+)
DQ358078	Picornaviridae	42782	Coxsackievirus A20	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ412042	Coronaviridae	347537	Bat SARS CoV Rf1/2004	Mammalia	Rhinolophus ferrumequinum	Betacoronavirus	ssRNA(+)
DQ412043	Coronaviridae	347536	Bat SARS CoV Rm1/2004	Mammalia	Rhinolophus macrotis	Betacoronavirus	ssRNA(+)
DQ473486	Picornaviridae	147681	rhinovirus B6	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473488	Picornaviridae	147679	Rhinovirus B48	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473489	Picornaviridae	185926	rhinovirus B70	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473490	Picornaviridae	185889	rhinovirus B4	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473491	Picornaviridae	185909	rhinovirus A41	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473492	Picornaviridae	185928	rhinovirus A73	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473493	Picornaviridae	185894	rhinovirus A15	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473494	Picornaviridae	185929	rhinovirus A74	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473497	Picornaviridae	12135	rhinovirus A23	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473499	Picornaviridae	185910	Human rhinovirus A44	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473500	Picornaviridae	185918	rhinovirus A59	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473504	Picornaviridae	185939	rhinovirus A88	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473505	Picornaviridae	147673	rhinovirus A36	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473506	Picornaviridae	167324	rhinovirus A46	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473507	Picornaviridae	185913	rhinovirus A53	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473508	Picornaviridae	147672	rhinovirus A28	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473510	Picornaviridae	185930	rhinovirus A75	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ473511	Picornaviridae	185915	rhinovirus A55	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ648794	Coronaviridae	389230	Bat coronavirus (BtCoV/133/2005)	Mammalia	Tylonycteris pachypus	Betacoronavirus	ssRNA(+)
DQ811787	Coronaviridae	398815	Porcine respiratory coronavirus ISU-1	Mammalia	Sus scrofa	Alphacoronavirus	ssRNA(+)
DQ848678	Coronaviridae	12663	Feline coronavirus	Mammalia	Felis catus	Alphacoronavirus	ssRNA(+)
DQ851494	Potyviridae	400395	Peace lily mosaic virus	Viridiplantae	Spathiphyllum patinii	Potyvirus	ssRNA(+)
DQ902712	Picornaviridae	318567	Enterovirus B84	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ902713	Picornaviridae	325447	Enterovirus B100	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ995634	Picornaviridae	42770	Coxsackievirus A11	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ995640	Picornaviridae	42772	Coxsackievirus A13	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
DQ995647	Picornaviridae	42783	Coxsackievirus A22	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF015886	Picornaviridae	325445	Enterovirus C96	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF017707	Potyviridae	12206	Papaya ringspot virus P	Viridiplantae	Carica papaya	Potyvirus	ssRNA(+)
EF065510	Coronaviridae	424364	Bat coronavirus HKU5-2	Mammalia	Pipistrellus abramus	Betacoronavirus	ssRNA(+)
EF065514	Coronaviridae	424368	Bat coronavirus HKU9-2	Mammalia	Rousettus leschenaultii	Betacoronavirus	ssRNA(+)
EF065515	Coronaviridae	424369	Bat coronavirus HKU9-3	Mammalia	Rousettus leschenaultii	Betacoronavirus	ssRNA(+)
EF065516	Coronaviridae	424370	Bat coronavirus HKU9-4	Mammalia	Rousettus leschenaultii	Betacoronavirus	ssRNA(+)
EF107097	Picornaviridae	2015550	enterovirus D94	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF165067	Picornaviridae	2779847	cardiovirus D1	Mammalia	Homo sapiens	Cardiovirus	ssRNA(+)
EF173414	Picornaviridae	39767	rhinovirus A11	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF173415	Picornaviridae	147684	rhinovirus A12	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF173420	Picornaviridae	150904	rhinovirus B17	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF173423	Picornaviridae	147680	rhinovirus B37	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF173425	Picornaviridae	167327	rhinovirus B93	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF446615	Coronaviridae	136187	Equine coronavirus	Mammalia	Equus caballus	Betacoronavirus	ssRNA(+)
EF552688	Picornaviridae	461287	Foot-and-mouth disease virus O/UKG/3952/2001	Mammalia	Ovis aries	Aphthovirus	ssRNA(+)
EF555645	Picornaviridae	2760818	enterovirus C102	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF558545	Potyviridae	444180	Potato virus Y strain (N)W	Viridiplantae	Solanum tuberosum	Potyvirus	ssRNA(+)
EF582386	Picornaviridae	1418031	rhinovirus C5	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
EF667343	Picornaviridae	2870395	enterovirus A124	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
EF667344	Picornaviridae	469959	Enterovirus A92	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
EU140838	Picornaviridae	12101	Simian hepatitis A virus	Mammalia	Macaca mulatta	Hepatovirus	ssRNA(+)
EU142040	Picornaviridae	2870389	aquamavirus A1	Mammalia	Chlorocebus aethiops	Aquamavirus	ssRNA(+)
EU420137	Coronaviridae	393768	Bat coronavirus 1B	Mammalia	Miniopterus pusillus	Alphacoronavirus	ssRNA(+)
EU420138	Coronaviridae	694000	Miniopterus bat coronavirus 1	Mammalia	Miniopterus	Alphacoronavirus	ssRNA(+)
EU439428	Paramyxoviridae	505220	Swine parainfluenza virus 3	Mammalia	Sus scrofa	Respirovirus	ssRNA(-)
EU563512	Potyviridae	12217	Potato virus Y strain C	Viridiplantae	Capsicum	Potyvirus	ssRNA(+)
EU627591	Paramyxoviridae	11226	Human parainfluenza virus 4b	Mammalia	Homo sapiens	Orthorubulavirus	ssRNA(-)
EU716175	Picornaviridae	602074	Human parechovirus 8	Mammalia	Homo sapiens	Parechovirus	ssRNA(+)
FJ007373	Picornaviridae	1917071	enterovirus J103	Mammalia	Macaca mulatta	Enterovirus	ssRNA(+)
FJ445112	Picornaviridae	147714	rhinovirus B5	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445113	Picornaviridae	185890	rhinovirus A8	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445114	Picornaviridae	185891	rhinovirus A9	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445116	Picornaviridae	185893	rhinovirus A13	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445118	Picornaviridae	147674	rhinovirus A18	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445119	Picornaviridae	185895	rhinovirus A19	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445120	Picornaviridae	147675	rhinovirus A20	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445121	Picornaviridae	44128	rhinovirus A21	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445122	Picornaviridae	185896	rhinovirus A22	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445123	Picornaviridae	185898	rhinovirus A25	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445124	Picornaviridae	185899	rhinovirus B26	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445126	Picornaviridae	185902	rhinovirus A31	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445127	Picornaviridae	185903	rhinovirus A32	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445128	Picornaviridae	185904	rhinovirus A33	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445129	Picornaviridae	185908	rhinovirus A40	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445130	Picornaviridae	147683	rhinovirus B42	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445131	Picornaviridae	167321	rhinovirus A43	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445132	Picornaviridae	147676	rhinovirus A45	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445133	Picornaviridae	185911	rhinovirus A47	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445134	Picornaviridae	44131	rhinovirus A49	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445135	Picornaviridae	44132	rhinovirus A50	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445136	Picornaviridae	185912	rhinovirus A51	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445138	Picornaviridae	185914	rhinovirus A54	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445140	Picornaviridae	185916	rhinovirus A56	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445141	Picornaviridae	185917	rhinovirus A57	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445142	Picornaviridae	44133	rhinovirus A58	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445143	Picornaviridae	185919	rhinovirus A60	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445144	Picornaviridae	185920	rhinovirus A61	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445146	Picornaviridae	185921	rhinovirus A63	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445147	Picornaviridae	44135	rhinovirus A65	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445148	Picornaviridae	185923	rhinovirus A66	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445149	Picornaviridae	185924	rhinovirus A67	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445150	Picornaviridae	185925	rhinovirus A68	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445151	Picornaviridae	147678	Rhinovirus B69	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445152	Picornaviridae	185927	rhinovirus A71	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445153	Picornaviridae	44137	rhinovirus B72	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445154	Picornaviridae	185932	rhinovirus A77	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445155	Picornaviridae	185933	rhinovirus B79	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445156	Picornaviridae	185934	rhinovirus A80	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445157	Picornaviridae	185935	Rhinovirus A81	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445160	Picornaviridae	167322	rhinovirus A82	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445161	Picornaviridae	185936	rhinovirus B83	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445162	Picornaviridae	167328	rhinovirus B84	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445163	Picornaviridae	185937	rhinovirus A85	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445164	Picornaviridae	185938	rhinovirus B86	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445165	Picornaviridae	12132	rhinovirus A89	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445167	Picornaviridae	185940	rhinovirus A90	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445168	Picornaviridae	167325	rhinovirus B91	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445169	Picornaviridae	167326	rhinovirus B92	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445171	Picornaviridae	185943	rhinovirus A96	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445172	Picornaviridae	167330	rhinovirus B97	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445173	Picornaviridae	185944	rhinovirus A98	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445174	Picornaviridae	185945	rhinovirus B99	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445175	Picornaviridae	185946	rhinovirus A100	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445176	Picornaviridae	44136	rhinovirus A7	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445178	Picornaviridae	185892	rhinovirus A10	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445179	Picornaviridae	185901	rhinovirus A30	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445180	Picornaviridae	185906	rhinovirus A38	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445181	Picornaviridae	185922	rhinovirus A64	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445182	Picornaviridae	185931	rhinovirus A76	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445183	Picornaviridae	147685	rhinovirus A78	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445185	Picornaviridae	185941	rhinovirus A94	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445186	Picornaviridae	185900	rhinovirus B27	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445187	Picornaviridae	167329	rhinovirus B35	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445188	Picornaviridae	147677	rhinovirus B52	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445189	Picornaviridae	185905	rhinovirus A34	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ445190	Picornaviridae	185897	rhinovirus A24	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
FJ647224	Coronaviridae	502104	Murine coronavirus MHV-3	Mammalia	Mus musculus	Betacoronavirus	ssRNA(+)
FJ755402	Astroviridae	626160	Human astrovirus 1 Beijing/128/2005/CHN	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
FJ755403	Astroviridae	626164	Human astrovirus 1 Beijing/176/2006/CHN	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
FJ755404	Astroviridae	626180	Human astrovirus 1 Beijing/291/2007/CHN	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
FJ755405	Astroviridae	626181	Human astrovirus 1 Beijing/293/2007/CHN	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
FJ938051	Coronaviridae	502100	Feline coronavirus RM	Mammalia	Felis catus	Alphacoronavirus	ssRNA(+)
FJ938052	Coronaviridae	627432	Feline coronavirus UU11	Mammalia	Felis catus	Alphacoronavirus	ssRNA(+)
FJ938053	Coronaviridae	454955	Feline coronavirus UU7	Mammalia	Felis catus	Alphacoronavirus	ssRNA(+)
FJ938058	Coronaviridae	627434	Feline coronavirus UU16	Mammalia	Felis catus	Alphacoronavirus	ssRNA(+)
FM955278	Picornaviridae	42775	Coxsackievirus A17	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
GQ153539	Coronaviridae	742001	Bat SARS coronavirus HKU3-4	Mammalia	Rhinolophus sinicus	Betacoronavirus	ssRNA(+)
GQ249161	Picornaviridae	703582	Porcine kobuvirus swine/K-30-HUN/2008/HUN	Mammalia	Sus scrofa	Kobuvirus	ssRNA(+)
GQ323774	Picornaviridae	655428	Human rhinovirus QCE	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
GQ415051	Picornaviridae	1219381	rhinovirus A101	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
GQ495608	Astroviridae	37130	Human astrovirus 6	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
GQ865517	Picornaviridae	861519	Enterovirus C109	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
GQ891990	Astroviridae	767521	Astrovirus SG	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
GU168576	Paramyxoviridae	11241	Rinderpest morbillivirus	Mammalia	Bos taurus	Morbillivirus	ssRNA(-)
GU345043	Hepeviridae	879095	Hepatitis E virus rat/R68/DEU/2009	Mammalia	Rattus norvegicus	Paslahepevirus	ssRNA(+)
HM245926	Coronaviridae	766792	Mink coronavirus strain WD1133	Mammalia	Neogale vison	Alphacoronavirus	ssRNA(+)
HM450380	Astroviridae	858367	Astrovirus MLB1 HK05	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
HM590055	Potyviridae	867160	Soybean mosaic virus 4469-4/CHN/2004	Viridiplantae	Glycine max	Potyvirus	ssRNA(+)
HM777023	Picornaviridae	47506	Echovirus E18	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
HQ400942	Picornaviridae	1006008	Human enterovirus 71 HZ08/Hangzhou/2008	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
HQ702854	Picornaviridae	1028489	Porcine enterovirus 3H	Mammalia	Sus scrofa domesticus	Enterovirus	ssRNA(+)
HQ728260	Picornaviridae	42785	Coxsackievirus A4	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
HQ728261	Picornaviridae	42786	Coxsackievirus A5	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
HQ728262	Picornaviridae	42769	Coxsackievirus A10	Mammalia	Chlorocebus aethiops	Enterovirus	ssRNA(+)
HQ875059	Picornaviridae	686984	Sapelovirus A	Mammalia	Sus scrofa	Sapelovirus	ssRNA(+)
JF905564	Picornaviridae	306588	Enterovirus A76	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
JN088541	Picornaviridae	1082189	Canine kobuvirus US-PC0082	Mammalia	Canis lupus familiaris	Kobuvirus	ssRNA(+)
JN379039	Picornaviridae	1330996	Salivirus CH	Mammalia	Pan troglodytes	Salivirus	ssRNA(+)
JN635402	Paramyxoviridae	884093	Measles virus strain MVi/New York.USA/26.09/3	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635403	Paramyxoviridae	884094	Measles virus strain MVi/Florida.USA/19.09	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635404	Paramyxoviridae	884095	Measles virus strain MVi/Virginia.USA/15.09	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635405	Paramyxoviridae	1089795	Measles virus strain MVi/Washington.USA/18.08/1	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635406	Paramyxoviridae	884096	Measles virus strain MVi/Arizona.USA/11.08/2	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635407	Paramyxoviridae	884097	Measles virus strain MVi/Texas.USA/4.07	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635408	Paramyxoviridae	884098	Measles virus strain MVi/New Jersey.USA/45.05	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635409	Paramyxoviridae	884099	Measles virus strain MVi/California.USA/8.04	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635410	Paramyxoviridae	884100	Measles virus strain MVi/California.USA/16.03	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN635411	Paramyxoviridae	884101	Measles virus strain MVi/Pennsylvania.USA/20.09	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
JN710381	Picornaviridae	363168	teschovirus A8	Mammalia	Sus scrofa	Teschovirus	ssRNA(+)
JN998607	Hepeviridae	1213422	Ferret hepatitis E virus	Mammalia	Mustela putorius	Rocahepevirus	ssRNA(+)
JQ277724	Picornaviridae	1194444	Ovine enterovirus	Mammalia	Ovis aries	Enterovirus	ssRNA(+)
JQ410000	Coronaviridae	1176035	Alpaca respiratory coronavirus	Mammalia	Felis catus	Alphacoronavirus	ssRNA(+)
JQ814852	Picornaviridae	1195279	Ia io picornavirus 1	Mammalia	Ia io	unclassified Picornaviridaevirus	ssRNA(+)
JQ818253	Picornaviridae	106966	Enterovirus G	Mammalia	Sus scrofa	Enterovirus	ssRNA(+)
JQ898342	Picornaviridae	1224522	Kobuvirus sewage Kathmandu	Mammalia	Homo sapiens	Kobuvirus	ssRNA(+)
JQ975417	Picornaviridae	138681	teschovirus A4	Mammalia	Sus scrofa	Teschovirus	ssRNA(+)
JQ989272	Coronaviridae	1241932	Hipposideros bat coronavirus HKU10	Mammalia	Chiroptera	Alphacoronavirus	ssRNA(+)
JX050181	Picornaviridae	376148	Human parechovirus 5	Mammalia	Homo sapiens	Parechovirus	ssRNA(+)
JX174177	Picornaviridae	42779	Coxsackievirus A1	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
JX262382	Picornaviridae	2760819	enterovirus C117	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
JX491648	Picornaviridae	1511785	pasivirus A2	Mammalia	Homo sapiens	Pasivirus	ssRNA(+)
JX869059	Coronaviridae	1235996	Human betacoronavirus 2c EMC/2012	Mammalia	Homo sapiens	Betacoronavirus	ssRNA(+)
JX961709	Picornaviridae	2760820	enterovirus C118	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
JX982257	Picornaviridae	2650411	Enterovirus C104	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
JX993987	Coronaviridae	1283332	Bat coronavirus Rp/Shaanxi2011	Mammalia	Rhinolophus pusillus	Betacoronavirus	ssRNA(+)
JX993988	Coronaviridae	1283333	Bat coronavirus Cp/Yunnan2011	Mammalia	Chaerephon plicatus	Betacoronavirus	ssRNA(+)
KC164757	Paramyxoviridae	170525	Measles virus genotype D4	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
KC164758	Paramyxoviridae	1056492	Measles virus genotype G3	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
KF039911	Astroviridae	12701	Human astrovirus 2	Mammalia	Homo sapiens	Mamastrovirus	ssRNA(+)
KF312882	Picornaviridae	1442164	Enterovirus B111	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
KF374704	Astroviridae	1413815	Feline astrovirus Viseu	Mammalia	Felis catus	Mamastrovirus	ssRNA(+)
KF422142	Picornaviridae	42771	Coxsackievirus A12	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
KF793824	Coronaviridae	1433215	Bottlenose dolphin coronavirus HKU22	Mammalia	Tursiops aduncus	Gammacoronavirus	ssRNA(+)
KF831027	Picornaviridae	1379496	Feline kobuvirus	Mammalia	Felis catus	Kobuvirus	ssRNA(+)
KF958308	Picornaviridae	147712	Rhinovirus B	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
KF990476	Picornaviridae	1248136	Enterovirus B106	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
KJ018970	Paramyxoviridae	763792	Measles virus genotype H1	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
KJ410048	Paramyxoviridae	170528	Measles virus genotype D8	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
KJ473821	Coronaviridae	1495253	BtVs-BetaCoV/SC2013	Mammalia	Vespertilio sinensis	Betacoronavirus	ssRNA(+)
KJ481931	Coronaviridae	1465644	Deltacoronavirus PDCoV/USA/Illinois121/2014	Mammalia	Sus scrofa domesticus	Deltacoronavirus	ssRNA(+)
KM597072	Paramyxoviridae	1384672	Mumps virus genotype G	Mammalia	Homo sapiens	Orthorubulavirus	ssRNA(-)
KM609480	Picornaviridae	42788	Coxsackievirus A8	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
KM822593	Astroviridae	1604873	Yak astrovirus	Mammalia	Bos grunniens	Mamastrovirus	ssRNA(+)
KP036483	Picornaviridae	42773	Coxsackievirus A14	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
KP233897	Picornaviridae	2773293	rabovirus A1	Mammalia	Rattus norvegicus	Rabovirus	ssRNA(+)
KP688373	Rhabdoviridae	909207	Bivens Arm virus	Insecta	Aedes albopictus	Tibrovirus	ssRNA(-)
KY385304	Potyviridae	674908	Kalanchoe mosaic virus	Viridiplantae	Graptopetalum paraguayense	Potyvirus	ssRNA(+)
LC511903	Potyviridae	114923	Carrot virus Y	Viridiplantae	Daucus carota	Potyvirus	ssRNA(+)
LC604020	Potyviridae	341111	Ranunculus mild mosaic virus	Viridiplantae	Anemone blanda	Potyvirus	ssRNA(+)
LC658681	Potyviridae	430059	Vallota mosaic virus	Viridiplantae	Narcissus	Potyvirus	ssRNA(+)
LK021688	Picornaviridae	1435148	Enterovirus A120	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
LM645057	Coronaviridae	1525377	Porcine epidemic diarrhea virus L00721/GER/2014	Mammalia	Chlorocebus aethiops	Alphacoronavirus	ssRNA(+)
MH779474	Potyviridae	369762	Henbane mosaic virus	Viridiplantae	Nicotiana tabacum	Potyvirus	ssRNA(+)
MH886517	Potyviridae	12229	Tulip breaking virus	Viridiplantae	Tulipa	Potyvirus	ssRNA(+)
MN116683	Potyviridae	565624	Malva vein clearing virus	Viridiplantae	Alcea rosea	Potyvirus	ssRNA(+)
MT263075	Potyviridae	551003	Passiflora chlorosis virus	Viridiplantae	Passiflora edulis	Potyvirus	ssRNA(+)
MT892648	Potyviridae	260374	Alstroemeria mosaic virus	Viridiplantae	Alstroemeria pulchella	Potyvirus	ssRNA(+)
MW035311	Potyviridae	186643	Ornithogalum virus 3	Viridiplantae	Ornithogalum thyrsoides	Potyvirus	ssRNA(+)
MW314143	Potyviridae	190503	Spartina mottle virus	Viridiplantae	Cynodon dactylon x Cynodon transvaalensis	Potyviridaevirus	ssRNA(+)
NC_000947	Potyviridae	79917	Japanese yam mosaic virus	Viridiplantae	Dioscorea japonica	Potyvirus	ssRNA(+)
NC_001366	Picornaviridae	204711	Theilovirus	Mammalia	Mus musculus	Cardiovirus	ssRNA(+)
NC_001430	Picornaviridae	138951	Enterovirus D	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_001445	Potyviridae	12211	Plum pox virus	Viridiplantae	Prunus domestica	Potyvirus	ssRNA(+)
NC_001472	Picornaviridae	138949	Enterovirus B	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_001479	Picornaviridae	12104	Encephalomyocarditis virus	Mammalia	Homo sapiens	Cardiovirus	ssRNA(+)
NC_001489	Picornaviridae	12092	Hepatovirus A	Mammalia	Cercopithecus hamlyni	Hepatovirus	ssRNA(+)
NC_001490	Picornaviridae	12131	rhinovirus B14	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_001498	Paramyxoviridae	11234	Measles morbillivirus	Mammalia	Homo sapiens	Morbillivirus	ssRNA(-)
